id,pegawai_id,unit_id,tahun_pelajaran,jam_wajib,jam_mengajar,honor,jam_honor,tunjangan_keluarga,tunjangan_anak,tunjangan_beras,tunjangan_jabatan,total
71,24,1,2025/2026,0,37,2405000.00,37,0,0,0,250000.00,2655000
73,13,1,2025/2026,0,8,520000.00,8,0,0,0,3000000.00,3520000
76,15,1,2025/2026,22,38,1040000.00,16,165000,82500,100000,2125000.00,5162500
77,16,1,2025/2026,22,39,1105000.00,17,165000,165000,150000,1250000.00,4485000
78,19,1,2025/2026,22,30,520000.00,8,208373,104186,50000,250000.00,3216284
79,17,1,2025/2026,22,18,0.00,0,0,0,0,0.00,0
80,18,1,2025/2026,22,27,325000.00,5,0,0,0,250000.00,575000
81,20,1,2025/2026,0,30,1500000.00,30,0,0,0,250000.00,1750000
82,22,1,2025/2026,0,6,390000.00,6,0,0,0,0.00,2490000
83,23,1,2025/2026,0,33,1650000.00,33,0,0,0,250000.00,1900000
84,25,1,2025/2026,0,29,1885000.00,29,0,0,0,250000.00,2135000
85,26,1,2025/2026,0,24,1560000.00,24,0,0,0,0.00,1560000
86,27,1,2025/2026,0,9,585000.00,9,0,0,0,0.00,585000
87,28,1,2025/2026,0,40,2600000.00,40,0,0,0,250000.00,2850000
88,29,1,2025/2026,0,40,2600000.00,40,0,0,0,250000.00,2850000
89,30,1,2025/2026,0,20,1300000.00,20,0,0,0,0.00,1300000
90,31,1,2025/2026,0,0,0.00,0,220000,220000,150000,1000000.00,3790000
92,21,1,2025/2026,22,9,0.00,0,0,0,0,0.00,1852200
94,33,2,2025/2026,0,8,560000.00,8,0,0,0,3500000.00,4060000
95,34,2,2025/2026,0,40,3000000.00,40,0,0,0,1600000.00,4600000
96,36,2,2025/2026,0,24,1800000.00,24,0,0,0,1600000.00,3400000
97,35,2,2025/2026,0,46,3450000.00,46,0,0,0,1600000.00,5050000
98,37,2,2025/2026,22,39,1275000.00,17,0,0,0,300000.00,1575000
99,40,2,2025/2026,0,50,3750000.00,50,0,0,0,300000.00,4050000
100,39,2,2025/2026,0,29,2175000.00,29,0,0,0,0.00,2175000
101,38,2,2025/2026,0,10,750000.00,10,0,0,0,0.00,750000
102,46,2,2025/2026,0,35,2625000.00,35,0,0,0,300000.00,2925000
103,43,2,2025/2026,0,16,1200000.00,16,0,0,0,0.00,1200000
104,44,2,2025/2026,0,44,3300000.00,44,0,0,0,0.00,3300000
105,41,2,2025/2026,0,45,3375000.00,45,0,0,0,300000.00,3675000
106,48,2,2025/2026,0,54,4050000.00,54,0,0,0,300000.00,4350000
107,45,2,2025/2026,0,13,975000.00,13,0,0,0,300000.00,1275000
108,47,2,2025/2026,0,49,3675000.00,49,0,0,0,300000.00,3975000
109,42,2,2025/2026,0,23,1725000.00,23,0,0,0,0.00,1725000
110,57,2,2025/2026,0,48,3600000.00,48,0,0,0,300000.00,3900000
111,58,2,2025/2026,0,34,2550000.00,34,0,0,0,300000.00,2850000
112,62,2,2025/2026,0,0,0.00,0,0,0,0,1650000.00,3500000
113,60,2,2025/2026,0,45,3375000.00,45,0,0,0,0.00,3375000
114,53,2,2025/2026,0,46,3450000.00,46,0,0,0,0.00,3450000
115,59,2,2025/2026,0,9,675000.00,9,0,0,0,300000.00,975000
116,54,2,2025/2026,0,46,3450000.00,46,0,0,0,300000.00,3750000
117,52,2,2025/2026,0,49,3675000.00,49,0,0,0,300000.00,3975000
118,63,2,2025/2026,0,0,0.00,0,0,0,0,0.00,2000000
119,56,2,2025/2026,0,45,3375000.00,45,0,0,0,300000.00,3675000
120,51,2,2025/2026,0,36,2700000.00,36,0,0,0,300000.00,3000000
121,50,2,2025/2026,0,48,3600000.00,48,0,0,0,300000.00,3900000
122,55,2,2025/2026,0,46,3450000.00,46,0,0,0,300000.00,3750000
123,49,2,2025/2026,0,49,3675000.00,49,0,0,0,300000.00,3975000
124,61,2,2025/2026,0,0,0.00,0,0,0,0,2000000.00,5749000
125,64,2,2025/2026,0,6,450000.00,6,0,0,0,300000.00,750000
126,65,2,2025/2026,0,23,1725000.00,23,0,0,0,0.00,1725000
127,66,3,2025/2026,0,24,1200000.00,24,0,0,0,3500000.00,4700000
128,75,3,2025/2026,22,12,0.00,0,160000,160000,200000,0.00,2120000
129,90,3,2025/2026,22,4,0.00,0,0,0,0,0.00,2500000
130,71,3,2025/2026,22,43,1470000.00,21,0,0,0,0.00,1470000
131,72,3,2025/2026,22,40,1260000.00,18,0,0,0,0.00,1260000
132,85,3,2025/2026,0,29,1450000.00,29,0,0,0,250000.00,1700000
133,81,3,2025/2026,0,31,1550000.00,31,0,0,0,250000.00,1800000
134,89,3,2025/2026,0,34,2210000.00,34,0,0,0,750000.00,2960000
135,92,3,2025/2026,0,42,2100000.00,42,0,0,0,250000.00,2350000
136,83,3,2025/2026,0,24,1560000.00,24,0,0,0,350000.00,1910000
137,98,3,2025/2026,0,47,2350000.00,47,0,0,0,250000.00,2600000
138,73,3,2025/2026,0,4,200000.00,4,0,0,0,0.00,200000
139,100,3,2025/2026,0,42,2100000.00,42,0,0,0,0.00,2100000
140,106,3,2025/2026,0,19,950000.00,19,0,0,0,0.00,950000
141,91,3,2025/2026,0,34,1700000.00,34,0,0,0,750000.00,2450000
142,105,3,2025/2026,0,24,1200000.00,24,0,0,0,0.00,1200000
143,93,3,2025/2026,0,32,1600000.00,32,0,0,0,250000.00,1850000
144,94,3,2025/2026,0,42,2100000.00,42,0,0,0,250000.00,2350000
145,77,3,2025/2026,0,32,1600000.00,32,0,0,0,250000.00,1850000
146,70,3,2025/2026,0,29,1450000.00,29,0,0,0,1000000.00,2450000
147,84,3,2025/2026,0,34,2210000.00,34,0,0,0,600000.00,2810000
148,99,3,2025/2026,0,42,2100000.00,42,0,0,0,0.00,2100000
149,104,3,2025/2026,0,39,1950000.00,39,0,0,0,250000.00,2200000
150,95,3,2025/2026,0,46,2300000.00,46,0,0,0,750000.00,3050000
151,80,3,2025/2026,22,37,975000.00,15,160000,160000,150000,250000.00,3295000
152,82,3,2025/2026,0,21,1365000.00,21,0,0,0,1250000.00,4870000
153,102,3,2025/2026,0,26,1300000.00,26,0,0,0,0.00,1300000
154,68,3,2025/2026,0,40,2000000.00,40,0,0,0,1000000.00,3000000
155,96,3,2025/2026,0,19,950000.00,19,0,0,0,0.00,950000
156,76,3,2025/2026,0,24,1560000.00,24,0,0,0,350000.00,1910000
157,69,3,2025/2026,0,46,2300000.00,46,0,0,0,1000000.00,3300000
158,86,3,2025/2026,0,31,1550000.00,31,0,0,0,250000.00,1800000
159,107,3,2025/2026,0,16,800000.00,16,0,0,0,0.00,800000
160,87,3,2025/2026,0,39,1950000.00,39,0,0,0,250000.00,2200000
161,88,3,2025/2026,0,22,1100000.00,22,0,0,0,0.00,1100000
162,78,3,2025/2026,0,11,715000.00,11,0,0,0,0.00,715000
163,103,3,2025/2026,0,21,1050000.00,21,0,0,0,0.00,1050000
164,101,3,2025/2026,0,6,390000.00,6,0,0,0,1000000.00,3015000
166,97,3,2025/2026,0,38,1900000.00,38,0,0,0,250000.00,2150000
167,74,3,2025/2026,0,25,1250000.00,25,0,0,0,250000.00,1500000
168,108,3,2025/2026,0,0,0.00,0,0,0,0,1500000.00,3800000
169,67,3,2025/2026,22,14,0.00,0,185000,92500,100000,750000.00,2977500
170,109,3,2025/2026,0,0,0.00,0,0,0,0,0.00,2000000
171,110,3,2025/2026,0,0,0.00,0,0,0,0,0.00,2000000
172,111,3,2025/2026,0,0,0.00,0,0,0,0,0.00,1500000
174,113,4,2025/2026,0,0,0.00,0,0,0,0,0.00,3000000
175,114,4,2025/2026,0,0,0.00,0,0,0,0,0.00,2000000
176,115,4,2025/2026,0,0,0.00,0,0,0,0,0.00,6500000
177,116,4,2025/2026,0,0,0.00,0,0,0,0,0.00,2750000
178,112,3,2025/2026,0,0,0.00,0,0,0,0,0.00,1750000
180,117,4,2025/2026,0,0,0.00,0,0,0,0,10250000.00,10250000
181,119,4,2025/2026,0,0,0.00,0,0,0,0,750000.00,750000
183,32,1,2025/2026,0,0,0.00,0,182500,0,50000,0.00,2057500
184,79,3,2025/2026,0,10,650000.00,10,0,0,0,250000.00,900000
185,121,3,2025/2026,0,15,975000.00,15,0,0,0,0.00,975000
186,122,3,2025/2026,0,26,1690000.00,26,0,0,0,0.00,1690000
187,123,3,2025/2026,0,34,2210000.00,34,0,0,0,0.00,2210000
188,120,3,2025/2026,0,0,0.00,0,0,0,0,0.00,300000
